words,count
facebook,14
algorithm,14
twitter,7
billion,6
users,5
kind,4
facebooks,4
social,4
media,4
oh,4
seeing,3
really,3
feed,3
content,3
time,3
nearly,3
4,3
internet,3
3,3
active,3
businesse,3
facebookapp,2
like,2
fraudulent,2
scam,2
success,2
every,2
silence,2
another,2
changes,2
year,2
big,2
news,2
change,2
best,2
via,2
complexity,2
learn,2
effective,2
tiktok,2
ads,2
youre,2
google,2
watching,2
im,2
socialmedia,2
people,2
power,2
myntra,1
ad,1
never,1
searched,1
anything,1
engage,1
posts,1
stop,1
altogether,1
still,1
easy,1
game,1
reports,1
listings,1
marketplacefb,1
shows,1
list,1
key,1
datapoint,1
marketingcampaign,1
otherwise,1
means,1
got,1
stage,1
meta,1
crew,1
confirmed,1
senduckworth,1
constituents,1
month,1
round,1
instagram,1
check,1
latest,1
stay,1
top,1
soc,1
platforms,1
changing,1
faster,1
expected,1
rateexperiencing,1
wide,1
taken,1
run,1
different,1
types,1
wondering,1
alone,1
platform,1
say,1
apple,1
